Id;X  [mm];Y  [mm];Z  [mm];U(95)  [mm];U(95) X  [mm];U(95) Y  [mm];U(95) Z  [mm];Target;Temperature  [°C];Pressure  [mBar];Humidity  [%];Time Stamp;Delete;
1;582,444;-3013,389;-305,408;0,000;0,000;0,000;0,000;RRR 1.5in;24,0;1015;47;'26.07.2023 13:53:46.120;;
2;582,442;-3013,389;-305,408;0,000;0,000;0,000;0,000;RRR 1.5in;24,0;1015;47;'26.07.2023 13:53:46.130;;
3;582,441;-3013,390;-305,407;0,000;0,000;0,000;0,000;RRR 1.5in;24,0;1015;47;'26.07.2023 13:53:46.140;;
4;582,441;-3013,391;-305,406;0,000;0,000;0,000;0,000;RRR 1.5in;24,0;1015;47;'26.07.2023 13:53:46.150;;
5;582,440;-3013,391;-305,407;0,000;0,000;0,000;0,000;RRR 1.5in;24,0;1015;47;'26.07.2023 13:53:46.160;;
6;582,440;-3013,391;-305,408;0,000;0,000;0,000;0,000;RRR 1.5in;24,0;1015;47;'26.07.2023 13:53:46.170;;
7;582,438;-3013,391;-305,409;0,000;0,000;0,000;0,000;RRR 1.5in;24,0;1015;47;'26.07.2023 13:53:46.180;;
8;582,438;-3013,392;-305,410;0,000;0,000;0,000;0,000;RRR 1.5in;24,0;1015;47;'26.07.2023 13:53:46.190;;
9;582,439;-3013,391;-305,410;0,000;0,000;0,000;0,000;RRR 1.5in;24,0;1015;47;'26.07.2023 13:53:46.200;;
10;582,439;-3013,391;-305,410;0,000;0,000;0,000;0,000;RRR 1.5in;24,0;1015;47;'26.07.2023 13:53:46.210;;
11;582,440;-3013,390;-305,410;0,000;0,000;0,000;0,000;RRR 1.5in;24,0;1015;47;'26.07.2023 13:53:46.220;;
12;582,440;-3013,390;-305,409;0,000;0,000;0,000;0,000;RRR 1.5in;24,0;1015;47;'26.07.2023 13:53:46.230;;
13;582,440;-3013,390;-305,410;0,000;0,000;0,000;0,000;RRR 1.5in;24,0;1015;47;'26.07.2023 13:53:46.240;;
14;582,440;-3013,390;-305,408;0,000;0,000;0,000;0,000;RRR 1.5in;24,0;1015;47;'26.07.2023 13:53:46.250;;
15;582,440;-3013,390;-305,408;0,000;0,000;0,000;0,000;RRR 1.5in;24,0;1015;47;'26.07.2023 13:53:46.260;;
16;582,439;-3013,390;-305,410;0,000;0,000;0,000;0,000;RRR 1.5in;24,0;1015;47;'26.07.2023 13:53:46.270;;
17;582,438;-3013,390;-305,412;0,000;0,000;0,000;0,000;RRR 1.5in;24,0;1015;47;'26.07.2023 13:53:46.280;;
18;582,437;-3013,390;-305,413;0,000;0,000;0,000;0,000;RRR 1.5in;24,0;1015;47;'26.07.2023 13:53:46.290;;
19;582,438;-3013,390;-305,413;0,000;0,000;0,000;0,000;RRR 1.5in;24,0;1015;47;'26.07.2023 13:53:46.300;;
