Id;X  [mm];Y  [mm];Z  [mm];U(95)  [mm];U(95) X  [mm];U(95) Y  [mm];U(95) Z  [mm];Target;Temperature  [°C];Pressure  [mBar];Humidity  [%];Time Stamp;Delete;
1;523,662;-2660,320;-330,251;0,000;0,000;0,000;0,000;RRR 1.5in;23,4;1014;48;'26.07.2023 10:52:06.830;;
2;523,662;-2660,320;-330,251;0,000;0,000;0,000;0,000;RRR 1.5in;23,4;1014;48;'26.07.2023 10:52:06.840;;
3;523,662;-2660,320;-330,250;0,000;0,000;0,000;0,000;RRR 1.5in;23,4;1014;48;'26.07.2023 10:52:06.850;;
4;523,662;-2660,320;-330,252;0,000;0,000;0,000;0,000;RRR 1.5in;23,4;1014;48;'26.07.2023 10:52:06.860;;
5;523,662;-2660,320;-330,252;0,000;0,000;0,000;0,000;RRR 1.5in;23,4;1014;48;'26.07.2023 10:52:06.870;;
6;523,662;-2660,320;-330,252;0,000;0,000;0,000;0,000;RRR 1.5in;23,4;1014;48;'26.07.2023 10:52:06.880;;
7;523,661;-2660,319;-330,251;0,000;0,000;0,000;0,000;RRR 1.5in;23,4;1014;48;'26.07.2023 10:52:06.890;;
8;523,662;-2660,320;-330,252;0,000;0,000;0,000;0,000;RRR 1.5in;23,4;1014;48;'26.07.2023 10:52:06.900;;
9;523,663;-2660,320;-330,253;0,000;0,000;0,000;0,000;RRR 1.5in;23,4;1014;48;'26.07.2023 10:52:06.910;;
10;523,663;-2660,320;-330,252;0,000;0,000;0,000;0,000;RRR 1.5in;23,4;1014;48;'26.07.2023 10:52:06.920;;
11;523,662;-2660,320;-330,253;0,000;0,000;0,000;0,000;RRR 1.5in;23,4;1014;48;'26.07.2023 10:52:06.930;;
12;523,662;-2660,320;-330,253;0,000;0,000;0,000;0,000;RRR 1.5in;23,4;1014;48;'26.07.2023 10:52:06.940;;
13;523,662;-2660,320;-330,251;0,000;0,000;0,000;0,000;RRR 1.5in;23,4;1014;48;'26.07.2023 10:52:06.950;;
14;523,662;-2660,320;-330,253;0,000;0,000;0,000;0,000;RRR 1.5in;23,4;1014;48;'26.07.2023 10:52:06.960;;
15;523,663;-2660,320;-330,254;0,000;0,000;0,000;0,000;RRR 1.5in;23,4;1014;48;'26.07.2023 10:52:06.970;;
16;523,662;-2660,319;-330,253;0,000;0,000;0,000;0,000;RRR 1.5in;23,4;1014;48;'26.07.2023 10:52:06.980;;
17;523,662;-2660,319;-330,253;0,000;0,000;0,000;0,000;RRR 1.5in;23,4;1014;48;'26.07.2023 10:52:06.990;;
18;523,662;-2660,319;-330,254;0,000;0,000;0,000;0,000;RRR 1.5in;23,4;1014;48;'26.07.2023 10:52:07.000;;
19;523,662;-2660,319;-330,253;0,000;0,000;0,000;0,000;RRR 1.5in;23,4;1014;48;'26.07.2023 10:52:07.010;;
