Id;X  [mm];Y  [mm];Z  [mm];U(95)  [mm];U(95) X  [mm];U(95) Y  [mm];U(95) Z  [mm];Target;Temperature  [°C];Pressure  [mBar];Humidity  [%];Time Stamp;Delete;
1;587,435;-2925,904;-305,442;0,000;0,000;0,000;0,000;RRR 1.5in;24,0;1015;47;'26.07.2023 13:35:27.020;;
2;587,435;-2925,904;-305,440;0,000;0,000;0,000;0,000;RRR 1.5in;24,0;1015;47;'26.07.2023 13:35:27.030;;
3;587,435;-2925,903;-305,441;0,000;0,000;0,000;0,000;RRR 1.5in;24,0;1015;47;'26.07.2023 13:35:27.040;;
4;587,435;-2925,903;-305,440;0,000;0,000;0,000;0,000;RRR 1.5in;24,0;1015;47;'26.07.2023 13:35:27.050;;
5;587,435;-2925,904;-305,440;0,000;0,000;0,000;0,000;RRR 1.5in;24,0;1015;47;'26.07.2023 13:35:27.060;;
6;587,435;-2925,904;-305,440;0,000;0,000;0,000;0,000;RRR 1.5in;24,0;1015;47;'26.07.2023 13:35:27.070;;
7;587,436;-2925,904;-305,439;0,000;0,000;0,000;0,000;RRR 1.5in;24,0;1015;47;'26.07.2023 13:35:27.080;;
8;587,435;-2925,904;-305,439;0,000;0,000;0,000;0,000;RRR 1.5in;24,0;1015;47;'26.07.2023 13:35:27.090;;
9;587,437;-2925,903;-305,438;0,000;0,000;0,000;0,000;RRR 1.5in;24,0;1015;47;'26.07.2023 13:35:27.100;;
10;587,435;-2925,904;-305,439;0,000;0,000;0,000;0,000;RRR 1.5in;24,0;1015;47;'26.07.2023 13:35:27.110;;
11;587,435;-2925,904;-305,439;0,000;0,000;0,000;0,000;RRR 1.5in;24,0;1015;47;'26.07.2023 13:35:27.120;;
12;587,434;-2925,904;-305,438;0,000;0,000;0,000;0,000;RRR 1.5in;24,0;1015;47;'26.07.2023 13:35:27.130;;
13;587,435;-2925,904;-305,439;0,000;0,000;0,000;0,000;RRR 1.5in;24,0;1015;47;'26.07.2023 13:35:27.140;;
