Id;X  [mm];Y  [mm];Z  [mm];U(95)  [mm];U(95) X  [mm];U(95) Y  [mm];U(95) Z  [mm];Target;Temperature  [°C];Pressure  [mBar];Humidity  [%];Time Stamp;Delete;
1;523,718;-2660,238;-330,384;0,000;0,000;0,000;0,000;RRR 1.5in;24,6;1015;46;'26.07.2023 16:15:22.040;;
2;523,718;-2660,238;-330,383;0,000;0,000;0,000;0,000;RRR 1.5in;24,6;1015;46;'26.07.2023 16:15:22.050;;
3;523,718;-2660,237;-330,383;0,000;0,000;0,000;0,000;RRR 1.5in;24,6;1015;46;'26.07.2023 16:15:22.060;;
4;523,718;-2660,237;-330,383;0,000;0,000;0,000;0,000;RRR 1.5in;24,6;1015;46;'26.07.2023 16:15:22.070;;
5;523,718;-2660,237;-330,384;0,000;0,000;0,000;0,000;RRR 1.5in;24,6;1015;46;'26.07.2023 16:15:22.080;;
6;523,718;-2660,237;-330,382;0,000;0,000;0,000;0,000;RRR 1.5in;24,6;1015;46;'26.07.2023 16:15:22.090;;
7;523,717;-2660,237;-330,384;0,000;0,000;0,000;0,000;RRR 1.5in;24,6;1015;46;'26.07.2023 16:15:22.100;;
8;523,717;-2660,238;-330,383;0,000;0,000;0,000;0,000;RRR 1.5in;24,6;1015;46;'26.07.2023 16:15:22.110;;
9;523,718;-2660,238;-330,383;0,000;0,000;0,000;0,000;RRR 1.5in;24,6;1015;46;'26.07.2023 16:15:22.120;;
10;523,718;-2660,238;-330,383;0,000;0,000;0,000;0,000;RRR 1.5in;24,6;1015;46;'26.07.2023 16:15:22.130;;
11;523,718;-2660,238;-330,383;0,000;0,000;0,000;0,000;RRR 1.5in;24,6;1015;46;'26.07.2023 16:15:22.140;;
12;523,717;-2660,238;-330,383;0,000;0,000;0,000;0,000;RRR 1.5in;24,6;1015;46;'26.07.2023 16:15:22.150;;
13;523,718;-2660,237;-330,382;0,000;0,000;0,000;0,000;RRR 1.5in;24,6;1015;46;'26.07.2023 16:15:22.160;;
14;523,719;-2660,237;-330,383;0,000;0,000;0,000;0,000;RRR 1.5in;24,6;1015;46;'26.07.2023 16:15:22.170;;
15;523,719;-2660,237;-330,383;0,000;0,000;0,000;0,000;RRR 1.5in;24,6;1015;46;'26.07.2023 16:15:22.180;;
16;523,719;-2660,237;-330,382;0,000;0,000;0,000;0,000;RRR 1.5in;24,6;1015;46;'26.07.2023 16:15:22.190;;
17;523,718;-2660,237;-330,383;0,000;0,000;0,000;0,000;RRR 1.5in;24,6;1015;46;'26.07.2023 16:15:22.200;;
18;523,718;-2660,238;-330,383;0,000;0,000;0,000;0,000;RRR 1.5in;24,6;1015;46;'26.07.2023 16:15:22.210;;
19;523,717;-2660,238;-330,384;0,000;0,000;0,000;0,000;RRR 1.5in;24,6;1015;46;'26.07.2023 16:15:22.220;;
20;523,717;-2660,238;-330,383;0,000;0,000;0,000;0,000;RRR 1.5in;24,6;1015;46;'26.07.2023 16:15:22.230;;
21;523,718;-2660,238;-330,382;0,000;0,000;0,000;0,000;RRR 1.5in;24,6;1015;46;'26.07.2023 16:15:22.240;;
22;523,718;-2660,238;-330,382;0,000;0,000;0,000;0,000;RRR 1.5in;24,6;1015;46;'26.07.2023 16:15:22.250;;
23;523,717;-2660,238;-330,383;0,000;0,000;0,000;0,000;RRR 1.5in;24,6;1015;46;'26.07.2023 16:15:22.260;;
24;523,718;-2660,237;-330,383;0,000;0,000;0,000;0,000;RRR 1.5in;24,6;1015;46;'26.07.2023 16:15:22.270;;
25;523,718;-2660,237;-330,383;0,000;0,000;0,000;0,000;RRR 1.5in;24,6;1015;46;'26.07.2023 16:15:22.280;;
26;523,718;-2660,237;-330,382;0,000;0,000;0,000;0,000;RRR 1.5in;24,6;1015;46;'26.07.2023 16:15:22.290;;
27;523,718;-2660,237;-330,383;0,000;0,000;0,000;0,000;RRR 1.5in;24,6;1015;46;'26.07.2023 16:15:22.300;;
28;523,718;-2660,238;-330,383;0,000;0,000;0,000;0,000;RRR 1.5in;24,6;1015;46;'26.07.2023 16:15:22.310;;
29;523,717;-2660,238;-330,382;0,000;0,000;0,000;0,000;RRR 1.5in;24,6;1015;46;'26.07.2023 16:15:22.320;;
30;523,717;-2660,238;-330,383;0,000;0,000;0,000;0,000;RRR 1.5in;24,6;1015;46;'26.07.2023 16:15:22.330;;
31;523,718;-2660,238;-330,382;0,000;0,000;0,000;0,000;RRR 1.5in;24,6;1015;46;'26.07.2023 16:15:22.340;;
32;523,717;-2660,238;-330,382;0,000;0,000;0,000;0,000;RRR 1.5in;24,6;1015;46;'26.07.2023 16:15:22.350;;
33;523,717;-2660,238;-330,383;0,000;0,000;0,000;0,000;RRR 1.5in;24,6;1015;46;'26.07.2023 16:15:22.360;;
34;523,718;-2660,238;-330,382;0,000;0,000;0,000;0,000;RRR 1.5in;24,6;1015;46;'26.07.2023 16:15:22.370;;
35;523,719;-2660,237;-330,382;0,000;0,000;0,000;0,000;RRR 1.5in;24,6;1015;46;'26.07.2023 16:15:22.380;;
36;523,719;-2660,237;-330,383;0,000;0,000;0,000;0,000;RRR 1.5in;24,6;1015;46;'26.07.2023 16:15:22.390;;
37;523,718;-2660,237;-330,382;0,000;0,000;0,000;0,000;RRR 1.5in;24,6;1015;46;'26.07.2023 16:15:22.400;;
38;523,718;-2660,238;-330,382;0,000;0,000;0,000;0,000;RRR 1.5in;24,6;1015;46;'26.07.2023 16:15:22.410;;
39;523,718;-2660,238;-330,383;0,000;0,000;0,000;0,000;RRR 1.5in;24,6;1015;46;'26.07.2023 16:15:22.420;;
40;523,718;-2660,238;-330,382;0,000;0,000;0,000;0,000;RRR 1.5in;24,6;1015;46;'26.07.2023 16:15:22.430;;
41;523,717;-2660,238;-330,382;0,000;0,000;0,000;0,000;RRR 1.5in;24,6;1015;46;'26.07.2023 16:15:22.440;;
42;523,717;-2660,238;-330,382;0,000;0,000;0,000;0,000;RRR 1.5in;24,6;1015;46;'26.07.2023 16:15:22.450;;
43;523,718;-2660,238;-330,382;0,000;0,000;0,000;0,000;RRR 1.5in;24,6;1015;46;'26.07.2023 16:15:22.460;;
44;523,719;-2660,238;-330,383;0,000;0,000;0,000;0,000;RRR 1.5in;24,6;1015;46;'26.07.2023 16:15:22.470;;
45;523,717;-2660,238;-330,382;0,000;0,000;0,000;0,000;RRR 1.5in;24,6;1015;46;'26.07.2023 16:15:22.480;;
46;523,718;-2660,238;-330,382;0,000;0,000;0,000;0,000;RRR 1.5in;24,6;1015;46;'26.07.2023 16:15:22.490;;
47;523,718;-2660,238;-330,382;0,000;0,000;0,000;0,000;RRR 1.5in;24,6;1015;46;'26.07.2023 16:15:22.500;;
48;523,718;-2660,238;-330,382;0,000;0,000;0,000;0,000;RRR 1.5in;24,6;1015;46;'26.07.2023 16:15:22.510;;
49;523,718;-2660,238;-330,382;0,000;0,000;0,000;0,000;RRR 1.5in;24,6;1015;46;'26.07.2023 16:15:22.520;;
50;523,718;-2660,238;-330,383;0,000;0,000;0,000;0,000;RRR 1.5in;24,6;1015;46;'26.07.2023 16:15:22.530;;
51;523,717;-2660,238;-330,383;0,000;0,000;0,000;0,000;RRR 1.5in;24,6;1015;46;'26.07.2023 16:15:22.540;;
52;523,717;-2660,238;-330,383;0,000;0,000;0,000;0,000;RRR 1.5in;24,6;1015;46;'26.07.2023 16:15:22.550;;
53;523,718;-2660,238;-330,383;0,000;0,000;0,000;0,000;RRR 1.5in;24,6;1015;46;'26.07.2023 16:15:22.560;;
54;523,717;-2660,238;-330,382;0,000;0,000;0,000;0,000;RRR 1.5in;24,6;1015;46;'26.07.2023 16:15:22.570;;
55;523,718;-2660,238;-330,382;0,000;0,000;0,000;0,000;RRR 1.5in;24,6;1015;46;'26.07.2023 16:15:22.580;;
56;523,719;-2660,238;-330,382;0,000;0,000;0,000;0,000;RRR 1.5in;24,6;1015;46;'26.07.2023 16:15:22.590;;
57;523,718;-2660,238;-330,383;0,000;0,000;0,000;0,000;RRR 1.5in;24,6;1015;46;'26.07.2023 16:15:22.600;;
58;523,717;-2660,238;-330,383;0,000;0,000;0,000;0,000;RRR 1.5in;24,6;1015;46;'26.07.2023 16:15:22.610;;
59;523,718;-2660,238;-330,382;0,000;0,000;0,000;0,000;RRR 1.5in;24,6;1015;46;'26.07.2023 16:15:22.620;;
60;523,718;-2660,238;-330,382;0,000;0,000;0,000;0,000;RRR 1.5in;24,6;1015;46;'26.07.2023 16:15:22.630;;
61;523,718;-2660,238;-330,383;0,000;0,000;0,000;0,000;RRR 1.5in;24,6;1015;46;'26.07.2023 16:15:22.640;;
62;523,718;-2660,238;-330,384;0,000;0,000;0,000;0,000;RRR 1.5in;24,6;1015;46;'26.07.2023 16:15:22.650;;
63;523,718;-2660,238;-330,383;0,000;0,000;0,000;0,000;RRR 1.5in;24,6;1015;46;'26.07.2023 16:15:22.660;;
64;523,717;-2660,238;-330,383;0,000;0,000;0,000;0,000;RRR 1.5in;24,6;1015;46;'26.07.2023 16:15:22.670;;
65;523,717;-2660,238;-330,383;0,000;0,000;0,000;0,000;RRR 1.5in;24,6;1015;46;'26.07.2023 16:15:22.680;;
66;523,718;-2660,238;-330,382;0,000;0,000;0,000;0,000;RRR 1.5in;24,6;1015;46;'26.07.2023 16:15:22.690;;
67;523,718;-2660,238;-330,383;0,000;0,000;0,000;0,000;RRR 1.5in;24,6;1015;46;'26.07.2023 16:15:22.700;;
68;523,718;-2660,238;-330,381;0,000;0,000;0,000;0,000;RRR 1.5in;24,6;1015;46;'26.07.2023 16:15:22.710;;
69;523,719;-2660,238;-330,383;0,000;0,000;0,000;0,000;RRR 1.5in;24,6;1015;46;'26.07.2023 16:15:22.720;;
70;523,719;-2660,238;-330,383;0,000;0,000;0,000;0,000;RRR 1.5in;24,6;1015;46;'26.07.2023 16:15:22.730;;
71;523,718;-2660,238;-330,383;0,000;0,000;0,000;0,000;RRR 1.5in;24,6;1015;46;'26.07.2023 16:15:22.740;;
72;523,718;-2660,238;-330,384;0,000;0,000;0,000;0,000;RRR 1.5in;24,6;1015;46;'26.07.2023 16:15:22.750;;
73;523,717;-2660,238;-330,382;0,000;0,000;0,000;0,000;RRR 1.5in;24,6;1015;46;'26.07.2023 16:15:22.760;;
74;523,717;-2660,238;-330,382;0,000;0,000;0,000;0,000;RRR 1.5in;24,6;1015;46;'26.07.2023 16:15:22.770;;
75;523,718;-2660,238;-330,383;0,000;0,000;0,000;0,000;RRR 1.5in;24,6;1015;46;'26.07.2023 16:15:22.780;;
76;523,717;-2660,238;-330,383;0,000;0,000;0,000;0,000;RRR 1.5in;24,6;1015;46;'26.07.2023 16:15:22.790;;
77;523,718;-2660,238;-330,383;0,000;0,000;0,000;0,000;RRR 1.5in;24,6;1015;46;'26.07.2023 16:15:22.800;;
78;523,719;-2660,238;-330,382;0,000;0,000;0,000;0,000;RRR 1.5in;24,6;1015;46;'26.07.2023 16:15:22.810;;
79;523,718;-2660,238;-330,382;0,000;0,000;0,000;0,000;RRR 1.5in;24,6;1015;46;'26.07.2023 16:15:22.820;;
80;523,718;-2660,238;-330,383;0,000;0,000;0,000;0,000;RRR 1.5in;24,6;1015;46;'26.07.2023 16:15:22.830;;
81;523,718;-2660,238;-330,384;0,000;0,000;0,000;0,000;RRR 1.5in;24,6;1015;46;'26.07.2023 16:15:22.840;;
82;523,718;-2660,238;-330,383;0,000;0,000;0,000;0,000;RRR 1.5in;24,6;1015;46;'26.07.2023 16:15:22.850;;
83;523,718;-2660,238;-330,383;0,000;0,000;0,000;0,000;RRR 1.5in;24,6;1015;46;'26.07.2023 16:15:22.860;;
84;523,717;-2660,239;-330,383;0,000;0,000;0,000;0,000;RRR 1.5in;24,6;1015;46;'26.07.2023 16:15:22.870;;
85;523,717;-2660,239;-330,383;0,000;0,000;0,000;0,000;RRR 1.5in;24,6;1015;46;'26.07.2023 16:15:22.880;;
86;523,718;-2660,239;-330,383;0,000;0,000;0,000;0,000;RRR 1.5in;24,6;1015;46;'26.07.2023 16:15:22.890;;
87;523,717;-2660,239;-330,383;0,000;0,000;0,000;0,000;RRR 1.5in;24,6;1015;46;'26.07.2023 16:15:22.900;;
88;523,717;-2660,238;-330,383;0,000;0,000;0,000;0,000;RRR 1.5in;24,6;1015;46;'26.07.2023 16:15:22.910;;
89;523,718;-2660,238;-330,383;0,000;0,000;0,000;0,000;RRR 1.5in;24,6;1015;46;'26.07.2023 16:15:22.920;;
90;523,716;-2660,238;-330,383;0,000;0,000;0,000;0,000;RRR 1.5in;24,6;1015;46;'26.07.2023 16:15:22.930;;
91;523,717;-2660,238;-330,383;0,000;0,000;0,000;0,000;RRR 1.5in;24,6;1015;46;'26.07.2023 16:15:22.940;;
