Id;X  [mm];Y  [mm];Z  [mm];U(95)  [mm];U(95) X  [mm];U(95) Y  [mm];U(95) Z  [mm];Target;Temperature  [°C];Pressure  [mBar];Humidity  [%];Time Stamp;Delete;
1;595,340;-2788,811;-305,361;0,000;0,000;0,000;0,000;RRR 1.5in;24,1;1015;47;'26.07.2023 14:16:47.800;;
2;595,339;-2788,811;-305,361;0,000;0,000;0,000;0,000;RRR 1.5in;24,1;1015;47;'26.07.2023 14:16:47.810;;
3;595,341;-2788,810;-305,360;0,000;0,000;0,000;0,000;RRR 1.5in;24,1;1015;47;'26.07.2023 14:16:47.820;;
4;595,341;-2788,810;-305,361;0,000;0,000;0,000;0,000;RRR 1.5in;24,1;1015;47;'26.07.2023 14:16:47.830;;
5;595,341;-2788,810;-305,359;0,000;0,000;0,000;0,000;RRR 1.5in;24,1;1015;47;'26.07.2023 14:16:47.840;;
6;595,342;-2788,810;-305,359;0,000;0,000;0,000;0,000;RRR 1.5in;24,1;1015;47;'26.07.2023 14:16:47.850;;
7;595,341;-2788,810;-305,359;0,000;0,000;0,000;0,000;RRR 1.5in;24,1;1015;47;'26.07.2023 14:16:47.860;;
8;595,342;-2788,809;-305,359;0,000;0,000;0,000;0,000;RRR 1.5in;24,1;1015;47;'26.07.2023 14:16:47.870;;
9;595,341;-2788,809;-305,359;0,000;0,000;0,000;0,000;RRR 1.5in;24,1;1015;47;'26.07.2023 14:16:47.880;;
10;595,342;-2788,809;-305,361;0,000;0,000;0,000;0,000;RRR 1.5in;24,1;1015;47;'26.07.2023 14:16:47.890;;
11;595,341;-2788,809;-305,360;0,000;0,000;0,000;0,000;RRR 1.5in;24,1;1015;47;'26.07.2023 14:16:47.900;;
12;595,341;-2788,810;-305,360;0,000;0,000;0,000;0,000;RRR 1.5in;24,1;1015;47;'26.07.2023 14:16:47.910;;
13;595,340;-2788,810;-305,360;0,000;0,000;0,000;0,000;RRR 1.5in;24,1;1015;47;'26.07.2023 14:16:47.920;;
14;595,341;-2788,810;-305,360;0,000;0,000;0,000;0,000;RRR 1.5in;24,1;1015;47;'26.07.2023 14:16:47.930;;
15;595,341;-2788,810;-305,360;0,000;0,000;0,000;0,000;RRR 1.5in;24,1;1015;47;'26.07.2023 14:16:47.940;;
16;595,341;-2788,810;-305,361;0,000;0,000;0,000;0,000;RRR 1.5in;24,1;1015;47;'26.07.2023 14:16:47.950;;
17;595,340;-2788,810;-305,360;0,000;0,000;0,000;0,000;RRR 1.5in;24,1;1015;47;'26.07.2023 14:16:47.960;;
18;595,341;-2788,810;-305,360;0,000;0,000;0,000;0,000;RRR 1.5in;24,1;1015;47;'26.07.2023 14:16:47.970;;
19;595,341;-2788,810;-305,360;0,000;0,000;0,000;0,000;RRR 1.5in;24,1;1015;47;'26.07.2023 14:16:47.980;;
20;595,341;-2788,810;-305,359;0,000;0,000;0,000;0,000;RRR 1.5in;24,1;1015;47;'26.07.2023 14:16:47.990;;
21;595,342;-2788,809;-305,360;0,000;0,000;0,000;0,000;RRR 1.5in;24,1;1015;47;'26.07.2023 14:16:48.000;;
22;595,341;-2788,809;-305,361;0,000;0,000;0,000;0,000;RRR 1.5in;24,1;1015;47;'26.07.2023 14:16:48.010;;
23;595,341;-2788,809;-305,359;0,000;0,000;0,000;0,000;RRR 1.5in;24,1;1015;47;'26.07.2023 14:16:48.020;;
24;595,341;-2788,810;-305,359;0,000;0,000;0,000;0,000;RRR 1.5in;24,1;1015;47;'26.07.2023 14:16:48.030;;
25;595,341;-2788,810;-305,359;0,000;0,000;0,000;0,000;RRR 1.5in;24,1;1015;47;'26.07.2023 14:16:48.040;;
26;595,340;-2788,810;-305,360;0,000;0,000;0,000;0,000;RRR 1.5in;24,1;1015;47;'26.07.2023 14:16:48.050;;
27;595,342;-2788,810;-305,359;0,000;0,000;0,000;0,000;RRR 1.5in;24,1;1015;47;'26.07.2023 14:16:48.060;;
28;595,341;-2788,810;-305,360;0,000;0,000;0,000;0,000;RRR 1.5in;24,1;1015;47;'26.07.2023 14:16:48.070;;
29;595,342;-2788,810;-305,360;0,000;0,000;0,000;0,000;RRR 1.5in;24,1;1015;47;'26.07.2023 14:16:48.080;;
30;595,342;-2788,810;-305,359;0,000;0,000;0,000;0,000;RRR 1.5in;24,1;1015;47;'26.07.2023 14:16:48.090;;
31;595,341;-2788,810;-305,359;0,000;0,000;0,000;0,000;RRR 1.5in;24,1;1015;47;'26.07.2023 14:16:48.100;;
32;595,340;-2788,810;-305,359;0,000;0,000;0,000;0,000;RRR 1.5in;24,1;1015;47;'26.07.2023 14:16:48.110;;
33;595,341;-2788,810;-305,359;0,000;0,000;0,000;0,000;RRR 1.5in;24,1;1015;47;'26.07.2023 14:16:48.120;;
34;595,341;-2788,810;-305,360;0,000;0,000;0,000;0,000;RRR 1.5in;24,1;1015;47;'26.07.2023 14:16:48.130;;
35;595,341;-2788,810;-305,359;0,000;0,000;0,000;0,000;RRR 1.5in;24,1;1015;47;'26.07.2023 14:16:48.140;;
36;595,340;-2788,810;-305,360;0,000;0,000;0,000;0,000;RRR 1.5in;24,1;1015;47;'26.07.2023 14:16:48.150;;
37;595,341;-2788,810;-305,359;0,000;0,000;0,000;0,000;RRR 1.5in;24,1;1015;47;'26.07.2023 14:16:48.160;;
38;595,341;-2788,810;-305,360;0,000;0,000;0,000;0,000;RRR 1.5in;24,1;1015;47;'26.07.2023 14:16:48.170;;
39;595,341;-2788,810;-305,360;0,000;0,000;0,000;0,000;RRR 1.5in;24,1;1015;47;'26.07.2023 14:16:48.180;;
40;595,341;-2788,810;-305,358;0,000;0,000;0,000;0,000;RRR 1.5in;24,1;1015;47;'26.07.2023 14:16:48.190;;
41;595,341;-2788,809;-305,359;0,000;0,000;0,000;0,000;RRR 1.5in;24,1;1015;47;'26.07.2023 14:16:48.200;;
42;595,341;-2788,809;-305,358;0,000;0,000;0,000;0,000;RRR 1.5in;24,1;1015;47;'26.07.2023 14:16:48.210;;
43;595,341;-2788,809;-305,359;0,000;0,000;0,000;0,000;RRR 1.5in;24,1;1015;47;'26.07.2023 14:16:48.220;;
44;595,341;-2788,810;-305,357;0,000;0,000;0,000;0,000;RRR 1.5in;24,1;1015;47;'26.07.2023 14:16:48.230;;
45;595,342;-2788,810;-305,358;0,000;0,000;0,000;0,000;RRR 1.5in;24,1;1015;47;'26.07.2023 14:16:48.240;;
46;595,340;-2788,810;-305,359;0,000;0,000;0,000;0,000;RRR 1.5in;24,1;1015;47;'26.07.2023 14:16:48.250;;
47;595,341;-2788,810;-305,358;0,000;0,000;0,000;0,000;RRR 1.5in;24,1;1015;47;'26.07.2023 14:16:48.260;;
48;595,339;-2788,810;-305,357;0,000;0,000;0,000;0,000;RRR 1.5in;24,1;1015;47;'26.07.2023 14:16:48.270;;
49;595,339;-2788,810;-305,359;0,000;0,000;0,000;0,000;RRR 1.5in;24,1;1015;47;'26.07.2023 14:16:48.280;;
50;595,339;-2788,811;-305,359;0,000;0,000;0,000;0,000;RRR 1.5in;24,1;1015;47;'26.07.2023 14:16:48.290;;
51;595,340;-2788,810;-305,359;0,000;0,000;0,000;0,000;RRR 1.5in;24,1;1015;47;'26.07.2023 14:16:48.300;;
52;595,341;-2788,810;-305,358;0,000;0,000;0,000;0,000;RRR 1.5in;24,1;1015;47;'26.07.2023 14:16:48.310;;
53;595,341;-2788,810;-305,358;0,000;0,000;0,000;0,000;RRR 1.5in;24,1;1015;47;'26.07.2023 14:16:48.320;;
54;595,341;-2788,810;-305,359;0,000;0,000;0,000;0,000;RRR 1.5in;24,1;1015;47;'26.07.2023 14:16:48.330;;
55;595,341;-2788,810;-305,358;0,000;0,000;0,000;0,000;RRR 1.5in;24,1;1015;47;'26.07.2023 14:16:48.340;;
56;595,341;-2788,810;-305,358;0,000;0,000;0,000;0,000;RRR 1.5in;24,1;1015;47;'26.07.2023 14:16:48.350;;
57;595,339;-2788,810;-305,357;0,000;0,000;0,000;0,000;RRR 1.5in;24,1;1015;47;'26.07.2023 14:16:48.360;;
58;595,340;-2788,810;-305,358;0,000;0,000;0,000;0,000;RRR 1.5in;24,1;1015;47;'26.07.2023 14:16:48.370;;
59;595,342;-2788,810;-305,359;0,000;0,000;0,000;0,000;RRR 1.5in;24,1;1015;47;'26.07.2023 14:16:48.380;;
60;595,341;-2788,810;-305,359;0,000;0,000;0,000;0,000;RRR 1.5in;24,1;1015;47;'26.07.2023 14:16:48.390;;
61;595,340;-2788,810;-305,359;0,000;0,000;0,000;0,000;RRR 1.5in;24,1;1015;47;'26.07.2023 14:16:48.400;;
62;595,341;-2788,810;-305,359;0,000;0,000;0,000;0,000;RRR 1.5in;24,1;1015;47;'26.07.2023 14:16:48.410;;
63;595,341;-2788,810;-305,360;0,000;0,000;0,000;0,000;RRR 1.5in;24,1;1015;47;'26.07.2023 14:16:48.420;;
64;595,340;-2788,810;-305,359;0,000;0,000;0,000;0,000;RRR 1.5in;24,1;1015;47;'26.07.2023 14:16:48.430;;
65;595,340;-2788,810;-305,360;0,000;0,000;0,000;0,000;RRR 1.5in;24,1;1015;47;'26.07.2023 14:16:48.440;;
66;595,340;-2788,810;-305,360;0,000;0,000;0,000;0,000;RRR 1.5in;24,1;1015;47;'26.07.2023 14:16:48.450;;
67;595,339;-2788,810;-305,360;0,000;0,000;0,000;0,000;RRR 1.5in;24,1;1015;47;'26.07.2023 14:16:48.460;;
68;595,340;-2788,810;-305,361;0,000;0,000;0,000;0,000;RRR 1.5in;24,1;1015;47;'26.07.2023 14:16:48.470;;
