Id;X  [mm];Y  [mm];Z  [mm];U(95)  [mm];U(95) X  [mm];U(95) Y  [mm];U(95) Z  [mm];Target;Temperature  [°C];Pressure  [mBar];Humidity  [%];Time Stamp;Delete;
1;586,778;-2938,538;-305,332;0,000;0,000;0,000;0,000;RRR 1.5in;24,0;1015;47;'26.07.2023 13:36:59.490;;
2;586,779;-2938,538;-305,333;0,000;0,000;0,000;0,000;RRR 1.5in;24,0;1015;47;'26.07.2023 13:36:59.500;;
3;586,779;-2938,538;-305,333;0,000;0,000;0,000;0,000;RRR 1.5in;24,0;1015;47;'26.07.2023 13:36:59.510;;
4;586,779;-2938,538;-305,334;0,000;0,000;0,000;0,000;RRR 1.5in;24,0;1015;47;'26.07.2023 13:36:59.520;;
5;586,780;-2938,537;-305,332;0,000;0,000;0,000;0,000;RRR 1.5in;24,0;1015;47;'26.07.2023 13:36:59.530;;
6;586,779;-2938,537;-305,332;0,000;0,000;0,000;0,000;RRR 1.5in;24,0;1015;47;'26.07.2023 13:36:59.540;;
7;586,778;-2938,538;-305,332;0,000;0,000;0,000;0,000;RRR 1.5in;24,0;1015;47;'26.07.2023 13:36:59.550;;
8;586,778;-2938,540;-305,333;0,000;0,000;0,000;0,000;RRR 1.5in;24,0;1015;47;'26.07.2023 13:36:59.560;;
9;586,778;-2938,540;-305,333;0,000;0,000;0,000;0,000;RRR 1.5in;24,0;1015;47;'26.07.2023 13:36:59.570;;
10;586,779;-2938,539;-305,332;0,000;0,000;0,000;0,000;RRR 1.5in;24,0;1015;47;'26.07.2023 13:36:59.580;;
11;586,779;-2938,538;-305,333;0,000;0,000;0,000;0,000;RRR 1.5in;24,0;1015;47;'26.07.2023 13:36:59.590;;
12;586,779;-2938,538;-305,334;0,000;0,000;0,000;0,000;RRR 1.5in;24,0;1015;47;'26.07.2023 13:36:59.600;;
13;586,780;-2938,538;-305,334;0,000;0,000;0,000;0,000;RRR 1.5in;24,0;1015;47;'26.07.2023 13:36:59.610;;
14;586,781;-2938,538;-305,334;0,000;0,000;0,000;0,000;RRR 1.5in;24,0;1015;47;'26.07.2023 13:36:59.620;;
15;586,781;-2938,538;-305,333;0,000;0,000;0,000;0,000;RRR 1.5in;24,0;1015;47;'26.07.2023 13:36:59.630;;
16;586,782;-2938,537;-305,334;0,000;0,000;0,000;0,000;RRR 1.5in;24,0;1015;47;'26.07.2023 13:36:59.640;;
17;586,782;-2938,537;-305,333;0,000;0,000;0,000;0,000;RRR 1.5in;24,0;1015;47;'26.07.2023 13:36:59.650;;
18;586,782;-2938,537;-305,333;0,000;0,000;0,000;0,000;RRR 1.5in;24,0;1015;47;'26.07.2023 13:36:59.660;;
19;586,783;-2938,538;-305,333;0,000;0,000;0,000;0,000;RRR 1.5in;24,0;1015;47;'26.07.2023 13:36:59.670;;
20;586,782;-2938,539;-305,333;0,000;0,000;0,000;0,000;RRR 1.5in;24,0;1015;47;'26.07.2023 13:36:59.680;;
21;586,783;-2938,539;-305,333;0,000;0,000;0,000;0,000;RRR 1.5in;24,0;1015;47;'26.07.2023 13:36:59.690;;
22;586,784;-2938,538;-305,334;0,000;0,000;0,000;0,000;RRR 1.5in;24,0;1015;47;'26.07.2023 13:36:59.700;;
23;586,784;-2938,537;-305,334;0,000;0,000;0,000;0,000;RRR 1.5in;24,0;1015;47;'26.07.2023 13:36:59.710;;
24;586,783;-2938,537;-305,335;0,000;0,000;0,000;0,000;RRR 1.5in;24,0;1015;47;'26.07.2023 13:36:59.720;;
