Id;X  [mm];Y  [mm];Z  [mm];U(95)  [mm];U(95) X  [mm];U(95) Y  [mm];U(95) Z  [mm];Target;Temperature  [°C];Pressure  [mBar];Humidity  [%];Time Stamp;Delete;
1;523,696;-2660,238;-330,364;0,000;0,000;0,000;0,000;RRR 1.5in;24,6;1015;46;'26.07.2023 16:14:42.560;;
2;523,696;-2660,238;-330,365;0,000;0,000;0,000;0,000;RRR 1.5in;24,6;1015;46;'26.07.2023 16:14:42.570;;
3;523,696;-2660,239;-330,365;0,000;0,000;0,000;0,000;RRR 1.5in;24,6;1015;46;'26.07.2023 16:14:42.580;;
4;523,694;-2660,240;-330,367;0,000;0,000;0,000;0,000;RRR 1.5in;24,6;1015;46;'26.07.2023 16:14:42.590;;
5;523,694;-2660,240;-330,366;0,000;0,000;0,000;0,000;RRR 1.5in;24,6;1015;46;'26.07.2023 16:14:42.600;;
6;523,692;-2660,240;-330,367;0,000;0,000;0,000;0,000;RRR 1.5in;24,6;1015;46;'26.07.2023 16:14:42.610;;
7;523,693;-2660,240;-330,366;0,000;0,000;0,000;0,000;RRR 1.5in;24,6;1015;46;'26.07.2023 16:14:42.620;;
8;523,692;-2660,241;-330,366;0,000;0,000;0,000;0,000;RRR 1.5in;24,6;1015;46;'26.07.2023 16:14:42.630;;
9;523,693;-2660,241;-330,366;0,000;0,000;0,000;0,000;RRR 1.5in;24,6;1015;46;'26.07.2023 16:14:42.640;;
10;523,692;-2660,240;-330,364;0,000;0,000;0,000;0,000;RRR 1.5in;24,6;1015;46;'26.07.2023 16:14:42.650;;
11;523,692;-2660,240;-330,367;0,000;0,000;0,000;0,000;RRR 1.5in;24,6;1015;46;'26.07.2023 16:14:42.660;;
12;523,691;-2660,240;-330,367;0,000;0,000;0,000;0,000;RRR 1.5in;24,6;1015;46;'26.07.2023 16:14:42.670;;
13;523,691;-2660,239;-330,367;0,000;0,000;0,000;0,000;RRR 1.5in;24,6;1015;46;'26.07.2023 16:14:42.680;;
14;523,691;-2660,240;-330,366;0,000;0,000;0,000;0,000;RRR 1.5in;24,6;1015;46;'26.07.2023 16:14:42.690;;
15;523,691;-2660,240;-330,365;0,000;0,000;0,000;0,000;RRR 1.5in;24,6;1015;46;'26.07.2023 16:14:42.700;;
16;523,690;-2660,241;-330,367;0,000;0,000;0,000;0,000;RRR 1.5in;24,6;1015;46;'26.07.2023 16:14:42.710;;
17;523,690;-2660,242;-330,366;0,000;0,000;0,000;0,000;RRR 1.5in;24,6;1015;46;'26.07.2023 16:14:42.720;;
18;523,689;-2660,241;-330,367;0,000;0,000;0,000;0,000;RRR 1.5in;24,6;1015;46;'26.07.2023 16:14:42.730;;
19;523,690;-2660,240;-330,367;0,000;0,000;0,000;0,000;RRR 1.5in;24,6;1015;46;'26.07.2023 16:14:42.740;;
20;523,690;-2660,240;-330,367;0,000;0,000;0,000;0,000;RRR 1.5in;24,6;1015;46;'26.07.2023 16:14:42.750;;
21;523,691;-2660,240;-330,366;0,000;0,000;0,000;0,000;RRR 1.5in;24,6;1015;46;'26.07.2023 16:14:42.760;;
