Id;X  [mm];Y  [mm];Z  [mm];U(95)  [mm];U(95) X  [mm];U(95) Y  [mm];U(95) Z  [mm];Target;Temperature  [°C];Pressure  [mBar];Humidity  [%];Time Stamp;Delete;
1;523,772;-2660,013;-330,328;0,000;0,000;0,000;0,000;RRR 1.5in;23,4;1014;48;'26.07.2023 10:50:25.630;;
2;523,772;-2660,013;-330,327;0,000;0,000;0,000;0,000;RRR 1.5in;23,4;1014;48;'26.07.2023 10:50:25.640;;
3;523,771;-2660,013;-330,328;0,000;0,000;0,000;0,000;RRR 1.5in;23,4;1014;48;'26.07.2023 10:50:25.650;;
4;523,772;-2660,012;-330,328;0,000;0,000;0,000;0,000;RRR 1.5in;23,4;1014;48;'26.07.2023 10:50:25.660;;
5;523,772;-2660,013;-330,327;0,000;0,000;0,000;0,000;RRR 1.5in;23,4;1014;48;'26.07.2023 10:50:25.670;;
6;523,773;-2660,013;-330,328;0,000;0,000;0,000;0,000;RRR 1.5in;23,4;1014;48;'26.07.2023 10:50:25.680;;
7;523,772;-2660,012;-330,328;0,000;0,000;0,000;0,000;RRR 1.5in;23,4;1014;48;'26.07.2023 10:50:25.690;;
8;523,772;-2660,012;-330,327;0,000;0,000;0,000;0,000;RRR 1.5in;23,4;1014;48;'26.07.2023 10:50:25.700;;
9;523,772;-2660,012;-330,328;0,000;0,000;0,000;0,000;RRR 1.5in;23,4;1014;48;'26.07.2023 10:50:25.710;;
10;523,773;-2660,012;-330,328;0,000;0,000;0,000;0,000;RRR 1.5in;23,4;1014;48;'26.07.2023 10:50:25.720;;
11;523,772;-2660,013;-330,327;0,000;0,000;0,000;0,000;RRR 1.5in;23,4;1014;48;'26.07.2023 10:50:25.730;;
12;523,771;-2660,013;-330,327;0,000;0,000;0,000;0,000;RRR 1.5in;23,4;1014;48;'26.07.2023 10:50:25.740;;
13;523,770;-2660,013;-330,327;0,000;0,000;0,000;0,000;RRR 1.5in;23,4;1014;48;'26.07.2023 10:50:25.750;;
14;523,769;-2660,013;-330,327;0,000;0,000;0,000;0,000;RRR 1.5in;23,4;1014;48;'26.07.2023 10:50:25.760;;
15;523,769;-2660,014;-330,326;0,000;0,000;0,000;0,000;RRR 1.5in;23,4;1014;48;'26.07.2023 10:50:25.770;;
16;523,768;-2660,014;-330,326;0,000;0,000;0,000;0,000;RRR 1.5in;23,4;1014;48;'26.07.2023 10:50:25.780;;
17;523,767;-2660,014;-330,326;0,000;0,000;0,000;0,000;RRR 1.5in;23,4;1014;48;'26.07.2023 10:50:25.790;;
18;523,767;-2660,014;-330,325;0,000;0,000;0,000;0,000;RRR 1.5in;23,4;1014;48;'26.07.2023 10:50:25.800;;
19;523,767;-2660,014;-330,326;0,000;0,000;0,000;0,000;RRR 1.5in;23,4;1014;48;'26.07.2023 10:50:25.810;;
20;523,767;-2660,013;-330,327;0,000;0,000;0,000;0,000;RRR 1.5in;23,4;1014;48;'26.07.2023 10:50:25.820;;
21;523,767;-2660,013;-330,327;0,000;0,000;0,000;0,000;RRR 1.5in;23,4;1014;48;'26.07.2023 10:50:25.830;;
22;523,766;-2660,014;-330,328;0,000;0,000;0,000;0,000;RRR 1.5in;23,4;1014;48;'26.07.2023 10:50:25.840;;
23;523,768;-2660,014;-330,328;0,000;0,000;0,000;0,000;RRR 1.5in;23,4;1014;48;'26.07.2023 10:50:25.850;;
24;523,768;-2660,014;-330,326;0,000;0,000;0,000;0,000;RRR 1.5in;23,4;1014;48;'26.07.2023 10:50:25.860;;
25;523,768;-2660,014;-330,327;0,000;0,000;0,000;0,000;RRR 1.5in;23,4;1014;48;'26.07.2023 10:50:25.870;;
26;523,768;-2660,014;-330,327;0,000;0,000;0,000;0,000;RRR 1.5in;23,4;1014;48;'26.07.2023 10:50:25.880;;
27;523,769;-2660,013;-330,327;0,000;0,000;0,000;0,000;RRR 1.5in;23,4;1014;48;'26.07.2023 10:50:25.890;;
28;523,769;-2660,013;-330,328;0,000;0,000;0,000;0,000;RRR 1.5in;23,4;1014;48;'26.07.2023 10:50:25.900;;
29;523,768;-2660,013;-330,328;0,000;0,000;0,000;0,000;RRR 1.5in;23,4;1014;48;'26.07.2023 10:50:25.910;;
30;523,769;-2660,013;-330,329;0,000;0,000;0,000;0,000;RRR 1.5in;23,4;1014;48;'26.07.2023 10:50:25.920;;
31;523,769;-2660,013;-330,328;0,000;0,000;0,000;0,000;RRR 1.5in;23,4;1014;48;'26.07.2023 10:50:25.930;;
32;523,768;-2660,013;-330,328;0,000;0,000;0,000;0,000;RRR 1.5in;23,4;1014;48;'26.07.2023 10:50:25.940;;
33;523,768;-2660,013;-330,329;0,000;0,000;0,000;0,000;RRR 1.5in;23,4;1014;48;'26.07.2023 10:50:25.950;;
34;523,769;-2660,013;-330,329;0,000;0,000;0,000;0,000;RRR 1.5in;23,4;1014;48;'26.07.2023 10:50:25.960;;
35;523,769;-2660,013;-330,330;0,000;0,000;0,000;0,000;RRR 1.5in;23,4;1014;48;'26.07.2023 10:50:25.970;;
36;523,770;-2660,013;-330,330;0,000;0,000;0,000;0,000;RRR 1.5in;23,4;1014;48;'26.07.2023 10:50:25.980;;
37;523,770;-2660,013;-330,330;0,000;0,000;0,000;0,000;RRR 1.5in;23,4;1014;48;'26.07.2023 10:50:25.990;;
38;523,771;-2660,012;-330,330;0,000;0,000;0,000;0,000;RRR 1.5in;23,4;1014;48;'26.07.2023 10:50:26.000;;
